win,lose,probability
Boston Celtics,Brooklyn Nets,0.8465159223853674
San Antonio Spurs,Charlotte Hornets,0.6655541608463498
Cleveland Cavaliers,Portland Trail Blazers,0.7151359779144869
Los Angeles Clippers,Dallas Mavericks,0.5922168508899901
Miami Heat,Detroit Pistons,0.5107226541758656
Golden State Warriors,Los Angeles Lakers,0.9754380185073671
Toronto Raptors,Houston Rockets,0.6176372854930422
Indiana Pacers,Atlanta Hawks,0.5350812549003575
New Orleans Pelicans,Minnesota Timberwolves,0.5130620402234591
Orlando Magic,Phoenix Suns,0.7096909050807364
Memphis Grizzlies,Philadelphia 76ers,0.8236593095203935
Oklahoma City Thunder,Sacramento Kings,0.8068171612194863
Utah Jazz,Denver Nuggets,0.7102283828449931
San Antonio Spurs,Boston Celtics,0.6686952748128896
Cleveland Cavaliers,Dallas Mavericks,0.8417324399632392
Oklahoma City Thunder,Denver Nuggets,0.8153356851463023
Los Angeles Clippers,Detroit Pistons,0.5655636549066974
Indiana Pacers,Brooklyn Nets,0.8709944442879376
Golden State Warriors,Los Angeles Lakers,0.9585894294878757
Miami Heat,Memphis Grizzlies,0.6325410188755238
Toronto Raptors,Milwaukee Bucks,0.7858342450133531
Charlotte Hornets,New York Knicks,0.7123657165616881
Washington Wizards,Orlando Magic,0.5445898475730027
Chicago Bulls,Philadelphia 76ers,0.860897557744424
Minnesota Timberwolves,Phoenix Suns,0.5967084437606851
Portland Trail Blazers,New Orleans Pelicans,0.7826261731562613
Houston Rockets,Sacramento Kings,0.5936353735051926
Atlanta Hawks,Utah Jazz,0.5270350237576192
Charlotte Hornets,New York Knicks,0.804006322484525
Golden State Warriors,Minnesota Timberwolves,0.9462774121830584
Miami Heat,Memphis Grizzlies,0.7525977131791174
Oklahoma City Thunder,Detroit Pistons,0.8110376556409191
San Antonio Spurs,Washington Wizards,0.7709695392334042
Sacramento Kings,Brooklyn Nets,0.6848091884444778
Dallas Mavericks,New Orleans Pelicans,0.7264574973469476
Los Angeles Clippers,Indiana Pacers,0.5142842022381038
Atlanta Hawks,Los Angeles Lakers,0.8633171933638255
Orlando Magic,Milwaukee Bucks,0.6219945778492509
Cleveland Cavaliers,Philadelphia 76ers,0.9580599633070254
Denver Nuggets,Phoenix Suns,0.6092134785600276
Portland Trail Blazers,Houston Rockets,0.6224855622955412
Golden State Warriors,Atlanta Hawks,0.8595701799716312
Charlotte Hornets,Memphis Grizzlies,0.6346055300182982
Miami Heat,Boston Celtics,0.5771963004306913
Utah Jazz,Minnesota Timberwolves,0.6162510817225508
Oklahoma City Thunder,New York Knicks,0.832073630821305
Toronto Raptors,Philadelphia 76ers,0.9561694571659423
Washington Wizards,Sacramento Kings,0.676151253417655
Los Angeles Clippers,Brooklyn Nets,0.8692867286303547
Charlotte Hornets,Detroit Pistons,0.6685782546961746
Cleveland Cavaliers,Milwaukee Bucks,0.8490114638725722
New Orleans Pelicans,Los Angeles Lakers,0.7037552484031419
San Antonio Spurs,Orlando Magic,0.9142792516339224
Utah Jazz,Houston Rockets,0.5653690325638309
Boston Celtics,Detroit Pistons,0.6654365863513303
Chicago Bulls,Los Angeles Lakers,0.8300913782169835
San Antonio Spurs,Dallas Mavericks,0.7693006628373042
Miami Heat,Denver Nuggets,0.6862560952218585
Minnesota Timberwolves,New York Knicks,0.5551754710252426
Oklahoma City Thunder,Washington Wizards,0.823639174150418
Atlanta Hawks,Phoenix Suns,0.8098054410438038
Portland Trail Blazers,Indiana Pacers,0.5782248352410618
Toronto Raptors,Memphis Grizzlies,0.8268453961944766
Milwaukee Bucks,Brooklyn Nets,0.6398465561039297
Charlotte Hornets,Dallas Mavericks,0.6840169481763909
Cleveland Cavaliers,Los Angeles Clippers,0.7392290223108461
Golden State Warriors,Houston Rockets,0.8987080807925008
Memphis Grizzlies,Orlando Magic,0.5622710075974103
Miami Heat,Utah Jazz,0.5212566208834406
Atlanta Hawks,Detroit Pistons,0.6721601529129807
Boston Celtics,Sacramento Kings,0.7768917920834706
Cleveland Cavaliers,Chicago Bulls,0.746560301875117
Houston Rockets,Denver Nuggets,0.6069750748575133
Los Angeles Clippers,New Orleans Pelicans,0.7689560553657019
New York Knicks,Minnesota Timberwolves,0.5338981270133798
Orlando Magic,Philadelphia 76ers,0.8198484340481944
San Antonio Spurs,Washington Wizards,0.8803510699020918
Toronto Raptors,Los Angeles Lakers,0.933561368633166
Charlotte Hornets,Minnesota Timberwolves,0.8018298024223475
Dallas Mavericks,Chicago Bulls,0.582686686989796
Golden State Warriors,Phoenix Suns,0.9654386125429121
Memphis Grizzlies,Los Angeles Lakers,0.7864504708076671
Milwaukee Bucks,Brooklyn Nets,0.6982584919981977
Boston Celtics,Philadelphia 76ers,0.9123426239852257
Portland Trail Blazers,Miami Heat,0.5379400566094623
Toronto Raptors,Atlanta Hawks,0.6841188851379743
Utah Jazz,Denver Nuggets,0.7102283828449931
Detroit Pistons,Orlando Magic,0.6793138125850694
Los Angeles Clippers,Indiana Pacers,0.6818576375852142
Sacramento Kings,New York Knicks,0.5000450722032933
Oklahoma City Thunder,New Orleans Pelicans,0.9044735139990638
Oklahoma City Thunder,Atlanta Hawks,0.5798642975735095
Washington Wizards,Brooklyn Nets,0.7775690172517584
Portland Trail Blazers,Chicago Bulls,0.6463195059106461
Charlotte Hornets,Dallas Mavericks,0.5402014872414184
Golden State Warriors,Indiana Pacers,0.8806216694049925
Boston Celtics,Houston Rockets,0.5300425757385843
Utah Jazz,Los Angeles Lakers,0.812701049455383
San Antonio Spurs,Milwaukee Bucks,0.8764401845892384
Memphis Grizzlies,New Orleans Pelicans,0.553309233958345
Denver Nuggets,Philadelphia 76ers,0.790388212134768
Cleveland Cavaliers,Toronto Raptors,0.5059740844008829
Detroit Pistons,Chicago Bulls,0.6090156068500614
Memphis Grizzlies,Philadelphia 76ers,0.8511357974828998
Miami Heat,New York Knicks,0.8010038503582939
San Antonio Spurs,Minnesota Timberwolves,0.8673887630385568
Utah Jazz,Phoenix Suns,0.8037462512202505
Washington Wizards,Orlando Magic,0.6529040591572929
Atlanta Hawks,Miami Heat,0.5939141263273395
Denver Nuggets,Brooklyn Nets,0.6664604562960337
Charlotte Hornets,Detroit Pistons,0.6685782546961746
Dallas Mavericks,Sacramento Kings,0.6782121128411548
Houston Rockets,Los Angeles Lakers,0.853237291028735
Golden State Warriors,Los Angeles Clippers,0.67328738671947
Portland Trail Blazers,Milwaukee Bucks,0.777199154256507
Cleveland Cavaliers,New York Knicks,0.8478504126796336
Boston Celtics,Orlando Magic,0.6535795683002683
Indiana Pacers,Phoenix Suns,0.7793943953698449
San Antonio Spurs,Chicago Bulls,0.7879520459769737
Portland Trail Blazers,Memphis Grizzlies,0.7079635710378389
New Orleans Pelicans,Philadelphia 76ers,0.7866955604715471
Toronto Raptors,Minnesota Timberwolves,0.8617311564411253
Golden State Warriors,Utah Jazz,0.803300730481842
Washington Wizards,Denver Nuggets,0.6942114786716284
Toronto Raptors,Boston Celtics,0.5107839327461194
Charlotte Hornets,Orlando Magic,0.7608741073509633
Cleveland Cavaliers,Miami Heat,0.7795148625581628
Dallas Mavericks,Indiana Pacers,0.502794166497148
Phoenix Suns,Los Angeles Lakers,0.5805419130809562
Atlanta Hawks,Milwaukee Bucks,0.7171169777117343
Detroit Pistons,Minnesota Timberwolves,0.6196725641026726
Oklahoma City Thunder,Houston Rockets,0.8126047058908804
Sacramento Kings,New York Knicks,0.5794438542352606
Miami Heat,Chicago Bulls,0.5647639460074609
Cleveland Cavaliers,Charlotte Hornets,0.7779826613341686
Houston Rockets,Dallas Mavericks,0.5797531221922616
Portland Trail Blazers,Indiana Pacers,0.54454578947459
Los Angeles Clippers,New Orleans Pelicans,0.8491395254223089
Golden State Warriors,Memphis Grizzlies,0.8658913040487182
Orlando Magic,Denver Nuggets,0.5939940954101057
San Antonio Spurs,Brooklyn Nets,0.9650944477906866
Utah Jazz,Sacramento Kings,0.6926953816265857
Washington Wizards,Milwaukee Bucks,0.7185749877971619
Detroit Pistons,Philadelphia 76ers,0.9041120840533216
New York Knicks,Los Angeles Lakers,0.6840370194968299
Golden State Warriors,Minnesota Timberwolves,0.8954756866818339
Oklahoma City Thunder,Boston Celtics,0.7474812771337411
New Orleans Pelicans,Phoenix Suns,0.5736098052024489
Dallas Mavericks,Denver Nuggets,0.6962090460944367
Houston Rockets,Brooklyn Nets,0.840168531778682
Indiana Pacers,Charlotte Hornets,0.5386306466371603
Los Angeles Clippers,Portland Trail Blazers,0.5637765387160248
Miami Heat,Washington Wizards,0.6829259401973174
Sacramento Kings,Los Angeles Lakers,0.7539369204967254
Toronto Raptors,Milwaukee Bucks,0.8693275430956962
Atlanta Hawks,Orlando Magic,0.7638108908308548
Chicago Bulls,Minnesota Timberwolves,0.6842322444300668
Cleveland Cavaliers,Memphis Grizzlies,0.8839460283484041
Golden State Warriors,New Orleans Pelicans,0.9091685610837401
New York Knicks,Phoenix Suns,0.5933940755566767
Oklahoma City Thunder,Portland Trail Blazers,0.634213062618417
Brooklyn Nets,Los Angeles Lakers,0.5431433678314131
Dallas Mavericks,Detroit Pistons,0.5462524432125433
Houston Rockets,Sacramento Kings,0.6923768538040572
Cleveland Cavaliers,Memphis Grizzlies,0.7962410902697092
Miami Heat,Indiana Pacers,0.6244439488205928
Los Angeles Clippers,Orlando Magic,0.69464922615605
Toronto Raptors,Philadelphia 76ers,0.9371325567846707
San Antonio Spurs,Boston Celtics,0.8234330707273868
Oklahoma City Thunder,Utah Jazz,0.6872865864391491
Charlotte Hornets,Washington Wizards,0.5425421651937893
Portland Trail Blazers,Denver Nuggets,0.7549250748976402
Golden State Warriors,New York Knicks,0.9469723710508607
Chicago Bulls,Milwaukee Bucks,0.603713943622602
Indiana Pacers,New Orleans Pelicans,0.6938353758914206
San Antonio Spurs,Phoenix Suns,0.9225625061876738
Boston Celtics,Charlotte Hornets,0.5844146822222039
Chicago Bulls,Milwaukee Bucks,0.6981646113551622
Houston Rockets,New Orleans Pelicans,0.7393148226801028
Memphis Grizzlies,Sacramento Kings,0.5877556949987361
Miami Heat,Los Angeles Clippers,0.530995136689944
Orlando Magic,Brooklyn Nets,0.7585940215798106
Los Angeles Lakers,Philadelphia 76ers,0.6134989520983813
Toronto Raptors,Atlanta Hawks,0.6841188851379743
Utah Jazz,Dallas Mavericks,0.5801175458540833
