Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Sat Apr 12 2014,3:30 pm,Sacramento Kings,101,Los Angeles Clippers,117,Box Score,,
Sat Apr 12 2014,7:00 pm,Milwaukee Bucks,91,Washington Wizards,104,Box Score,,
Sun Apr 13 2014,6:00 pm,Orlando Magic,88,Brooklyn Nets,97,Box Score,,
Sun Apr 13 2014,3:30 pm,Toronto Raptors,116,Detroit Pistons,107,Box Score,,
Sun Apr 13 2014,1:00 pm,Oklahoma City Thunder,97,Indiana Pacers,102,Box Score,,
Sun Apr 13 2014,9:30 pm,Memphis Grizzlies,102,Los Angeles Lakers,90,Box Score,,
Sun Apr 13 2014,7:30 pm,Chicago Bulls,89,New York Knicks,100,Box Score,,
Sun Apr 13 2014,9:00 pm,Golden State Warriors,117,Portland Trail Blazers,119,Box Score,OT,
Sun Apr 13 2014,9:00 pm,Minnesota Timberwolves,103,Sacramento Kings,106,Box Score,,
Mon Apr 14 2014,7:30 pm,Charlotte Bobcats,95,Atlanta Hawks,93,Box Score,,
Mon Apr 14 2014,8:00 pm,Orlando Magic,95,Chicago Bulls,108,Box Score,,
Mon Apr 14 2014,10:30 pm,Minnesota Timberwolves,120,Golden State Warriors,130,Box Score,,
Mon Apr 14 2014,8:00 pm,San Antonio Spurs,98,Houston Rockets,104,Box Score,,
Mon Apr 14 2014,8:00 pm,Oklahoma City Thunder,89,New Orleans Pelicans,101,Box Score,,
Mon Apr 14 2014,7:00 pm,Boston Celtics,108,Philadelphia 76ers,113,Box Score,,
Mon Apr 14 2014,10:00 pm,Memphis Grizzlies,97,Phoenix Suns,91,Box Score,,
Mon Apr 14 2014,7:00 pm,Milwaukee Bucks,100,Toronto Raptors,110,Box Score,,
Mon Apr 14 2014,9:00 pm,Los Angeles Lakers,119,Utah Jazz,104,Box Score,,
Mon Apr 14 2014,7:00 pm,Miami Heat,93,Washington Wizards,114,Box Score,,
Tue Apr 15 2014,8:00 pm,New York Knicks,109,Brooklyn Nets,98,Box Score,,
Tue Apr 15 2014,10:30 pm,Denver Nuggets,105,Los Angeles Clippers,117,Box Score,,
Wed Apr 16 2014,8:00 pm,Washington Wizards,118,Boston Celtics,102,Box Score,,
Wed Apr 16 2014,7:00 pm,Chicago Bulls,86,Charlotte Bobcats,91,Box Score,OT,
Wed Apr 16 2014,8:00 pm,Brooklyn Nets,85,Cleveland Cavaliers,114,Box Score,,
Wed Apr 16 2014,10:30 pm,Golden State Warriors,116,Denver Nuggets,112,Box Score,,
Wed Apr 16 2014,8:00 pm,Dallas Mavericks,105,Memphis Grizzlies,106,Box Score,OT,
Wed Apr 16 2014,8:00 pm,Philadelphia 76ers,100,Miami Heat,87,Box Score,,
Wed Apr 16 2014,8:00 pm,Atlanta Hawks,111,Milwaukee Bucks,103,Box Score,,
Wed Apr 16 2014,8:00 pm,Utah Jazz,136,Minnesota Timberwolves,130,Box Score,2OT,
Wed Apr 16 2014,8:00 pm,Houston Rockets,100,New Orleans Pelicans,105,Box Score,,
Wed Apr 16 2014,8:00 pm,Toronto Raptors,92,New York Knicks,95,Box Score,,
Wed Apr 16 2014,8:00 pm,Detroit Pistons,111,Oklahoma City Thunder,112,Box Score,,
Wed Apr 16 2014,7:00 pm,Indiana Pacers,101,Orlando Magic,86,Box Score,,
Wed Apr 16 2014,10:30 pm,Los Angeles Clippers,104,Portland Trail Blazers,110,Box Score,,
Wed Apr 16 2014,10:30 pm,Phoenix Suns,104,Sacramento Kings,99,Box Score,,
Wed Apr 16 2014,8:00 pm,Los Angeles Lakers,113,San Antonio Spurs,100,Box Score,,
Sat Apr 19 2014,7:00 pm,Atlanta Hawks,101,Indiana Pacers,93,Box Score,,
Sat Apr 19 2014,3:30 pm,Golden State Warriors,109,Los Angeles Clippers,105,Box Score,,
Sat Apr 19 2014,9:43 pm,Memphis Grizzlies,86,Oklahoma City Thunder,100,Box Score,,
Sat Apr 19 2014,12:30 am,Brooklyn Nets,94,Toronto Raptors,87,Box Score,,
Sun Apr 20 2014,7:00 pm,Washington Wizards,102,Chicago Bulls,93,Box Score,,
Sun Apr 20 2014,9:30 pm,Portland Trail Blazers,122,Houston Rockets,120,Box Score,OT,
Sun Apr 20 2014,3:30 pm,Charlotte Bobcats,88,Miami Heat,99,Box Score,,
Sun Apr 20 2014,1:00 pm,Dallas Mavericks,85,San Antonio Spurs,90,Box Score,,
Mon Apr 21 2014,10:30 pm,Golden State Warriors,98,Los Angeles Clippers,138,Box Score,,
Mon Apr 21 2014,8:00 pm,Memphis Grizzlies,111,Oklahoma City Thunder,105,Box Score,OT,
Tue Apr 22 2014,9:30 pm,Washington Wizards,101,Chicago Bulls,99,Box Score,OT,
Tue Apr 22 2014,7:00 pm,Atlanta Hawks,85,Indiana Pacers,101,Box Score,,
Tue Apr 22 2014,7:30 pm,Brooklyn Nets,95,Toronto Raptors,100,Box Score,,
Wed Apr 23 2014,9:30 pm,Portland Trail Blazers,112,Houston Rockets,105,Box Score,,
Wed Apr 23 2014,7:00 pm,Charlotte Bobcats,97,Miami Heat,101,Box Score,,
Wed Apr 23 2014,8:00 pm,Dallas Mavericks,113,San Antonio Spurs,92,Box Score,,
Thu Apr 24 2014,7:00 pm,Indiana Pacers,85,Atlanta Hawks,98,Box Score,,
Thu Apr 24 2014,10:30 pm,Los Angeles Clippers,98,Golden State Warriors,96,Box Score,,
Thu Apr 24 2014,8:00 pm,Oklahoma City Thunder,95,Memphis Grizzlies,98,Box Score,OT,
Fri Apr 25 2014,7:00 pm,Toronto Raptors,98,Brooklyn Nets,102,Box Score,,
Fri Apr 25 2014,10:30 pm,Houston Rockets,121,Portland Trail Blazers,116,Box Score,OT,
Fri Apr 25 2014,8:00 pm,Chicago Bulls,100,Washington Wizards,97,Box Score,,
Sat Apr 26 2014,2:00 pm,Indiana Pacers,91,Atlanta Hawks,88,Box Score,,
Sat Apr 26 2014,7:00 pm,Miami Heat,98,Charlotte Bobcats,85,Box Score,,
Sat Apr 26 2014,4:30 pm,San Antonio Spurs,108,Dallas Mavericks,109,Box Score,,
Sat Apr 26 2014,9:30 pm,Oklahoma City Thunder,92,Memphis Grizzlies,89,Box Score,OT,
Sun Apr 27 2014,7:00 pm,Toronto Raptors,87,Brooklyn Nets,79,Box Score,,
Sun Apr 27 2014,3:30 pm,Los Angeles Clippers,97,Golden State Warriors,118,Box Score,,
Sun Apr 27 2014,9:30 pm,Houston Rockets,120,Portland Trail Blazers,123,Box Score,OT,
Sun Apr 27 2014,1:00 pm,Chicago Bulls,89,Washington Wizards,98,Box Score,,
Mon Apr 28 2014,7:00 pm,Miami Heat,109,Charlotte Bobcats,98,Box Score,,
Mon Apr 28 2014,9:30 pm,San Antonio Spurs,93,Dallas Mavericks,89,Box Score,,
Mon Apr 28 2014,8:00 pm,Atlanta Hawks,107,Indiana Pacers,97,Box Score,,
Tue Apr 29 2014,8:00 pm,Washington Wizards,75,Chicago Bulls,69,Box Score,,
Tue Apr 29 2014,10:30 pm,Golden State Warriors,103,Los Angeles Clippers,113,Box Score,,
Tue Apr 29 2014,9:00 pm,Memphis Grizzlies,100,Oklahoma City Thunder,99,Box Score,OT,
Wed Apr 30 2014,9:30 pm,Portland Trail Blazers,98,Houston Rockets,108,Box Score,,
Wed Apr 30 2014,7:00 pm,Dallas Mavericks,103,San Antonio Spurs,109,Box Score,,
Wed Apr 30 2014,7:30 pm,Brooklyn Nets,113,Toronto Raptors,115,Box Score,,
