Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Thu Jan 16 2014,9:30 pm,Oklahoma City Thunder,104,Houston Rockets,92,Box Score,,
Thu Jan 16 2014,7:00 pm,New York Knicks,89,Indiana Pacers,117,Box Score,,
Fri Jan 17 2014,7:30 pm,Los Angeles Lakers,107,Boston Celtics,104,Box Score,,
Fri Jan 17 2014,9:00 pm,Cleveland Cavaliers,117,Denver Nuggets,109,Box Score,,
Fri Jan 17 2014,7:30 pm,Utah Jazz,110,Detroit Pistons,89,Box Score,,
Fri Jan 17 2014,8:00 pm,Sacramento Kings,90,Memphis Grizzlies,91,Box Score,,
Fri Jan 17 2014,7:00 pm,Los Angeles Clippers,109,New York Knicks,95,Box Score,,
Fri Jan 17 2014,9:30 pm,Golden State Warriors,121,Oklahoma City Thunder,127,Box Score,,
Fri Jan 17 2014,7:00 pm,Charlotte Bobcats,111,Orlando Magic,101,Box Score,,
Fri Jan 17 2014,7:00 pm,Miami Heat,101,Philadelphia 76ers,86,Box Score,,
Fri Jan 17 2014,9:00 pm,Dallas Mavericks,110,Phoenix Suns,107,Box Score,,
Fri Jan 17 2014,8:30 pm,Portland Trail Blazers,109,San Antonio Spurs,100,Box Score,,
Fri Jan 17 2014,7:00 pm,Minnesota Timberwolves,89,Toronto Raptors,94,Box Score,,
Fri Jan 17 2014,7:00 pm,Chicago Bulls,93,Washington Wizards,96,Box Score,,
Sat Jan 18 2014,7:30 pm,Miami Heat,104,Charlotte Bobcats,96,Box Score,OT,
Sat Jan 18 2014,8:00 pm,Philadelphia 76ers,78,Chicago Bulls,103,Box Score,,
Sat Jan 18 2014,8:30 pm,Portland Trail Blazers,127,Dallas Mavericks,111,Box Score,,
Sat Jan 18 2014,8:00 pm,Milwaukee Bucks,104,Houston Rockets,114,Box Score,,
Sat Jan 18 2014,7:00 pm,Los Angeles Clippers,92,Indiana Pacers,106,Box Score,,
Sat Jan 18 2014,8:00 pm,Utah Jazz,72,Minnesota Timberwolves,98,Box Score,,
Sat Jan 18 2014,8:00 pm,Golden State Warriors,97,New Orleans Pelicans,87,Box Score,,
Sat Jan 18 2014,7:00 pm,Detroit Pistons,104,Washington Wizards,98,Box Score,,
Sun Jan 19 2014,7:00 pm,Sacramento Kings,93,Oklahoma City Thunder,108,Box Score,,
Sun Jan 19 2014,6:00 pm,Boston Celtics,91,Orlando Magic,93,Box Score,,
Sun Jan 19 2014,8:00 pm,Denver Nuggets,103,Phoenix Suns,117,Box Score,,
Sun Jan 19 2014,7:00 pm,Milwaukee Bucks,82,San Antonio Spurs,110,Box Score,,
Sun Jan 19 2014,1:00 pm,Los Angeles Lakers,112,Toronto Raptors,106,Box Score,,
Mon Jan 20 2014,5:30 pm,Miami Heat,114,Atlanta Hawks,121,Box Score,,
Mon Jan 20 2014,2:00 pm,Toronto Raptors,95,Charlotte Bobcats,100,Box Score,,
