Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Sat Dec 14 2013,7:00 pm,Los Angeles Clippers,113,Washington Wizards,97,Box Score,,
Sun Dec 15 2013,8:00 pm,New Orleans Pelicans,93,Denver Nuggets,102,Box Score,,
Sun Dec 15 2013,6:00 pm,Portland Trail Blazers,111,Detroit Pistons,109,Box Score,OT,
Sun Dec 15 2013,6:00 pm,Minnesota Timberwolves,101,Memphis Grizzlies,93,Box Score,,
Sun Dec 15 2013,7:00 pm,Orlando Magic,98,Oklahoma City Thunder,101,Box Score,,
Sun Dec 15 2013,8:00 pm,Golden State Warriors,102,Phoenix Suns,106,Box Score,,
Sun Dec 15 2013,6:00 pm,Houston Rockets,91,Sacramento Kings,106,Box Score,,
Mon Dec 16 2013,7:30 pm,Los Angeles Lakers,100,Atlanta Hawks,114,Box Score,,
Mon Dec 16 2013,7:30 pm,Minnesota Timberwolves,97,Boston Celtics,101,Box Score,,
Mon Dec 16 2013,7:30 pm,Philadelphia 76ers,94,Brooklyn Nets,130,Box Score,,
Mon Dec 16 2013,8:00 pm,Orlando Magic,83,Chicago Bulls,82,Box Score,,
Mon Dec 16 2013,7:00 pm,Detroit Pistons,101,Indiana Pacers,96,Box Score,,
Mon Dec 16 2013,10:30 pm,San Antonio Spurs,92,Los Angeles Clippers,115,Box Score,,
Mon Dec 16 2013,7:30 pm,Utah Jazz,94,Miami Heat,117,Box Score,,
Mon Dec 16 2013,7:30 pm,Washington Wizards,102,New York Knicks,101,Box Score,,
Tue Dec 17 2013,7:00 pm,Sacramento Kings,87,Charlotte Bobcats,95,Box Score,,
Tue Dec 17 2013,7:00 pm,Portland Trail Blazers,119,Cleveland Cavaliers,116,Box Score,,
Tue Dec 17 2013,9:00 pm,Oklahoma City Thunder,105,Denver Nuggets,93,Box Score,,
Tue Dec 17 2013,10:30 pm,New Orleans Pelicans,93,Golden State Warriors,104,Box Score,,
Tue Dec 17 2013,8:00 pm,Los Angeles Lakers,96,Memphis Grizzlies,92,Box Score,,
Wed Dec 18 2013,7:30 pm,Sacramento Kings,107,Atlanta Hawks,124,Box Score,,
Wed Dec 18 2013,7:30 pm,Detroit Pistons,107,Boston Celtics,106,Box Score,,
Wed Dec 18 2013,7:30 pm,Washington Wizards,113,Brooklyn Nets,107,Box Score,,
Wed Dec 18 2013,8:30 pm,Memphis Grizzlies,91,Dallas Mavericks,105,Box Score,,
Wed Dec 18 2013,9:30 pm,Chicago Bulls,94,Houston Rockets,109,Box Score,,
Wed Dec 18 2013,10:30 pm,New Orleans Pelicans,95,Los Angeles Clippers,108,Box Score,,
Wed Dec 18 2013,7:00 pm,Indiana Pacers,94,Miami Heat,97,Box Score,,
Wed Dec 18 2013,8:00 pm,New York Knicks,107,Milwaukee Bucks,101,Box Score,2OT,
Wed Dec 18 2013,8:00 pm,Portland Trail Blazers,109,Minnesota Timberwolves,120,Box Score,,
Wed Dec 18 2013,7:00 pm,Utah Jazz,86,Orlando Magic,82,Box Score,,
Wed Dec 18 2013,9:00 pm,San Antonio Spurs,108,Phoenix Suns,101,Box Score,,
Wed Dec 18 2013,7:00 pm,Charlotte Bobcats,104,Toronto Raptors,102,Box Score,OT,
Thu Dec 19 2013,10:30 pm,San Antonio Spurs,104,Golden State Warriors,102,Box Score,,
Thu Dec 19 2013,8:00 pm,Chicago Bulls,95,Oklahoma City Thunder,107,Box Score,,
Fri Dec 20 2013,7:30 pm,Utah Jazz,85,Atlanta Hawks,118,Box Score,,
Fri Dec 20 2013,7:30 pm,Milwaukee Bucks,111,Cleveland Cavaliers,114,Box Score,OT,
Fri Dec 20 2013,8:30 pm,Toronto Raptors,109,Dallas Mavericks,108,Box Score,OT,
Fri Dec 20 2013,9:00 pm,Phoenix Suns,103,Denver Nuggets,99,Box Score,,
Fri Dec 20 2013,7:30 pm,Charlotte Bobcats,116,Detroit Pistons,106,Box Score,,
Fri Dec 20 2013,8:00 pm,Houston Rockets,81,Indiana Pacers,114,Box Score,,
Fri Dec 20 2013,10:30 pm,Minnesota Timberwolves,91,Los Angeles Lakers,104,Box Score,,
Fri Dec 20 2013,7:30 pm,Sacramento Kings,103,Miami Heat,122,Box Score,,
Fri Dec 20 2013,7:00 pm,Brooklyn Nets,120,Philadelphia 76ers,121,Box Score,OT,
Sat Dec 21 2013,1:00 pm,Washington Wizards,106,Boston Celtics,99,Box Score,,
Sat Dec 21 2013,7:30 pm,Utah Jazz,88,Charlotte Bobcats,85,Box Score,,
Sat Dec 21 2013,8:00 pm,Cleveland Cavaliers,84,Chicago Bulls,100,Box Score,,
Sat Dec 21 2013,7:30 pm,Houston Rockets,114,Detroit Pistons,97,Box Score,,
Sat Dec 21 2013,10:30 pm,Los Angeles Lakers,83,Golden State Warriors,102,Box Score,,
Sat Dec 21 2013,10:30 pm,Denver Nuggets,91,Los Angeles Clippers,112,Box Score,,
